Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
T01 - Search By keyword,Chrome 120.0.0.0,,,16-01-2024 15:23:44,16-01-2024 15:24:05,20.964s,PASSED
,,,,,,,
Test Cases/UC01 - Search By Keyword/TC0101 - Search By Keyword - npru,Chrome 120.0.0.0,,,16-01-2024 15:23:44,16-01-2024 15:23:50,5.791s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,16-01-2024 15:23:44,16-01-2024 15:23:46,1.216s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 120.0.0.0,,,16-01-2024 15:23:46,16-01-2024 15:23:47,1.199s,PASSED
"setText(findTestObject(""Object Repository/Page_Google/textarea_q""), ""npru"")",Chrome 120.0.0.0,,,16-01-2024 15:23:47,16-01-2024 15:23:48,0.632s,PASSED
"click(findTestObject(""Object Repository/Page_Google/input_btnK""))",Chrome 120.0.0.0,,,16-01-2024 15:23:48,16-01-2024 15:23:48,0.661s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏนครปฐม "", false)",Chrome 120.0.0.0,,,16-01-2024 15:23:48,16-01-2024 15:23:50,1.816s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,16-01-2024 15:23:50,16-01-2024 15:23:50,0.077s,PASSED
,,,,,,,
Test Cases/UC01 - Search By Keyword/TC0102 - Search By Keyword - pbru,Chrome 120.0.0.0,,,16-01-2024 15:23:50,16-01-2024 15:23:54,4.380s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,16-01-2024 15:23:50,16-01-2024 15:23:51,0.566s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 120.0.0.0,,,16-01-2024 15:23:51,16-01-2024 15:23:52,0.873s,PASSED
"setText(findTestObject(""Object Repository/Page_Google/Page_Google/textarea_q""), ""pbru"")",Chrome 120.0.0.0,,,16-01-2024 15:23:52,16-01-2024 15:23:52,0.586s,PASSED
"click(findTestObject(""Object Repository/Page_Google/Page_Google/input_btnK""))",Chrome 120.0.0.0,,,16-01-2024 15:23:52,16-01-2024 15:23:53,0.641s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏเพชรบุรี"", false)",Chrome 120.0.0.0,,,16-01-2024 15:23:53,16-01-2024 15:23:54,1.587s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,16-01-2024 15:23:54,16-01-2024 15:23:54,0.074s,PASSED
,,,,,,,
Test Cases/UC02 - Search/TC0101 - Search By Keyword - npru,Chrome 120.0.0.0,,,16-01-2024 15:23:54,16-01-2024 15:24:00,5.025s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,16-01-2024 15:23:54,16-01-2024 15:23:55,0.559s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 120.0.0.0,,,16-01-2024 15:23:55,16-01-2024 15:23:56,1.031s,PASSED
"setText(findTestObject(""Object Repository/Page_Google/textarea_q""), ""npru"")",Chrome 120.0.0.0,,,16-01-2024 15:23:56,16-01-2024 15:23:57,0.604s,PASSED
"click(findTestObject(""Object Repository/Page_Google/input_btnK""))",Chrome 120.0.0.0,,,16-01-2024 15:23:57,16-01-2024 15:23:58,0.861s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏนครปฐม "", false)",Chrome 120.0.0.0,,,16-01-2024 15:23:58,16-01-2024 15:23:59,1.892s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,16-01-2024 15:23:59,16-01-2024 15:24:00,0.064s,PASSED
,,,,,,,
Test Cases/UC02 - Search/TC0102 - Search By Keyword - pbru,Chrome 120.0.0.0,,,16-01-2024 15:24:00,16-01-2024 15:24:05,5.637s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,16-01-2024 15:24:00,16-01-2024 15:24:00,0.540s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 120.0.0.0,,,16-01-2024 15:24:00,16-01-2024 15:24:02,2.144s,PASSED
"setText(findTestObject(""Object Repository/Page_Google/Page_Google/textarea_q""), ""pbru"")",Chrome 120.0.0.0,,,16-01-2024 15:24:02,16-01-2024 15:24:03,0.574s,PASSED
"click(findTestObject(""Object Repository/Page_Google/Page_Google/input_btnK""))",Chrome 120.0.0.0,,,16-01-2024 15:24:03,16-01-2024 15:24:03,0.638s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏเพชรบุรี"", false)",Chrome 120.0.0.0,,,16-01-2024 15:24:03,16-01-2024 15:24:05,1.632s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,16-01-2024 15:24:05,16-01-2024 15:24:05,0.096s,PASSED
